Nyquist frequency(c/d):359.99462660448114
f(c/d) f_err(c/d) snr amp amp_err phase phase_err residual_noise
5.872624307426736745e-02 2.286831823239766416e-04 4.738332675646379499e+00 4.176173287762588454e-05 1.577195957812565866e-06 3.270502387647903575e+00 2.122438816431099884e+00 -7.356673827998165903e-06
3.941005545490544604e-02 2.590355252828472374e-04 4.681282817480147074e+00 4.009983262771562516e-05 1.516108524062719171e-06 7.206805119257460035e-01 2.402719124908430981e+00 -8.670441663485874264e-06
5.292195611135468170e+01 2.745202841309235899e-04 9.040333128036706967e+00 3.648505219369722712e-05 1.522584426545879363e-06 1.235798640986779662e-01 2.539964700275177734e+00 -8.662941274965050157e-06
5.368287729825140531e+01 2.924153123568805661e-04 1.548474032207665374e+01 3.405416515128885380e-05 1.514672622914884818e-06 6.005437807894755231e+00 2.719099762888910199e+00 -8.675401367574358183e-06
5.704795136206038819e+01 2.915965454639886790e-04 1.543331994094597270e+01 3.394314326086187648e-05 1.510969589724269419e-06 3.251476558705165054e+00 2.720131916493829571e+00 -8.660627015715331169e-06
5.064517211304055877e+01 2.924867370926588321e-04 6.664253794138510933e+00 3.364601666484904181e-05 1.493047176899894545e-06 3.719710824727747500e+00 2.715777646258847877e+00 -8.668495602497479417e-06
3.747912389063144900e+01 2.948540706378268523e-04 6.577993491435106144e+00 3.318588158287252745e-05 1.468982826234831835e-06 5.715833018103230856e+00 2.729840590824915036e+00 -8.661921552895358997e-06
1.945883901492145851e-02 3.375594823054114545e-04 6.528780840146057862e+00 3.049742586207575314e-05 1.472782843676875278e-06 5.246047923413392766e+00 3.126521400029746101e+00 -1.182835573830385302e-05
6.937590725368619360e+01 2.981401560793484626e-04 1.367715766030035596e+01 3.247602101374803883e-05 1.498352166354001792e-06 1.937730770472992914e+00 2.769973614329896527e+00 -1.181907002547143573e-05
4.131942766702272252e+01 2.996792696090077148e-04 1.893365231136482052e+01 3.213174209295615788e-05 1.449661536944544954e-06 4.323986218736651566e+00 2.780126676993238899e+00 -1.183356890186424829e-05
6.144715615353445770e+01 3.052136724557759384e-04 4.284464964675886556e+00 3.137799333901754182e-05 1.468782436022243134e-06 5.330911391555034129e+00 2.831423532760584116e+00 -1.183923515843475568e-05
2.281463984255757893e+01 3.033031340755289380e-04 4.260797388239811134e+00 3.139300993215342984e-05 1.419034824687594451e-06 4.936546581751381169e+00 2.817113658889634831e+00 -1.182973848015494799e-05
6.461585310862891163e+01 3.065753564402125893e-04 4.231431204029666659e+00 3.093992026897123958e-05 1.457930542586505399e-06 4.133677677519275728e-01 2.864707688413362430e+00 -1.183817966398058466e-05
7.104485917819567931e+01 3.099895105913066376e-04 4.164862729696495514e+00 3.041002231982465728e-05 1.461456804351138897e-06 5.430048687721157563e+00 2.883603038344132230e+00 -1.184494508426983118e-05
2.807824067761136022e-01 3.047552898801958346e-04 4.164915592984018922e+00 3.078212119651888967e-05 1.382747539420141560e-06 4.169300115484319669e+00 2.828999773821728958e+00 -1.144944431862731605e-05
5.230335269488047345e+01 3.120823423678371900e-04 8.771468090596632905e+00 2.988702720905034109e-05 1.417189402581407493e-06 6.212973866343281415e+00 2.795242603236431922e+00 -1.145142766034839071e-05
4.740817331818954017e+01 3.120896057370167384e-04 1.004541697781906429e+01 2.972769779175808615e-05 1.403824695962285879e-06 5.154141127890589757e+00 2.895825897280807748e+00 -1.147611078429327188e-05
7.631709060229340480e+01 3.142633711461167794e-04 1.035444811605203341e+01 2.937015947609135800e-05 1.440987737864778007e-06 2.480882574167772248e+00 2.903504887856369621e+00 -1.148164654044101972e-05
4.535535780784221060e+01 3.181529010406004073e-04 1.009649498752215813e+01 2.888914014178214505e-05 1.387402686937646889e-06 1.386004406125383337e+00 2.954482163291706875e+00 -1.150184934792888947e-05
5.349891596686027384e+01 3.184941665568377157e-04 8.221777098305917519e+00 2.870231915421721171e-05 1.390757344586297301e-06 2.069848969936387284e-01 2.981524318464490619e+00 -1.148852671769414649e-05
6.955335696702385917e+01 3.267518309035641224e-04 4.568038403440843886e+00 2.783004931873792908e-05 1.408307705936814445e-06 3.536895503742664371e+00 3.062213243733623358e+00 -1.149360838931430279e-05
5.610990094809525175e+01 1.757691562367036863e-04 4.002234135602054543e+00 2.767988227204754137e-05 1.353426846188159909e-06 6.138242704347501189e+00 1.656980569278439175e+00 -1.149036278730283538e-05
